Page Name,User Name,Facebook Id,Likes at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Overperforming Score
Ministry of Health- Uganda,minofhealthUG,767949523254855,190370,2020-10-07 21:06:43 EAT,Photo,1851,138,51,2,2,10,16,2,0,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3561979247185188,"Results of COVID-19 tests done on 6 October 2020 confirm 178 new cases. The cumulative cases are now 9,260. 🔸Recoveries: 5,588 🔺One new COVID-19 death registered from Jinja. The total COVID-19 deaths are now 85. The breakdown of the new cases are: Contacts and Alerts (176): Kampala (31), Moroto (28), Kotido (28), Kiryandongo (25), Mukono (9), Napak (7), Rubanda (7), Kaberamaido (8), Wakiso (6), Moyo (6), Katakwi (3), Soroti (3), Amuru (4), Buvuma (2), Gomba (2), Buikwe (1), Jinja (2), Kaabong (1), Kisoro (1), Nakapiripirit (1) and Ntungamo (1) 1 returnee from Tanzania 1 truck driver from Mutukula",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3561976640518782/?type=3,,"UGANDA MINISTRY OF HEALTH COVID-19 DAILY UPDATES NEW CASES RESULTS OF 6th.0CT.2020 178 CUMULATIVE DEATHS TO-DATE 85 (1New Death) CUMULATIVE CONFIRMED CASES OF UGANDANS TO-DATE 9,260 CUMULATIVE RECOVERIES TO-DATE 5,588 TOTAL COVID-19 SAMPLES TESTED TO-DATE 497,498 Wear Mank 0800-100-066 0800-203-033 Wash your Hands Keop your Distonce E-mail:dghs@infocom.co.ug Website:www.health.go.ug #STAYSAFEUG",,,,,-1.18
Ministry of Health- Uganda,minofhealthUG,767949523254855,190319,2020-10-06 16:00:17 EAT,Photo,633,67,5,4,0,3,0,0,2,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3558029774246802,"Through the Ministry of Health, Bukomansimbi District received a fully equipped type B ambulance donated by KOFIH to support emergency medical services. The ambulance received by Dr. Diana Atwine will further support emergency care among communities in the greater Masaka Region. #STAYSAFEUG",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3558029460913500/?type=3,,,Photos from Ministry of Health- Uganda's post,,,,-4.63
Ministry of Health- Uganda,minofhealthUG,767949523254855,190319,2020-10-06 12:50:00 EAT,Photo,789,99,55,2,0,4,12,1,1,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3557577037625409,"Results of COVID-19 tests done on 5 October 2020 confirm 117 new cases. The cumulative confirmed cases are now 9,082. 🔸Recoveries: 5,457 🔺2 new COVID-19 deaths recorded from Amuru and Arua. The total COVID-19 deaths are now 84. The breakdown of the new cases are: Contacts and alerts (114): Kampala (80), Pader (12), Sironko (6), Mbale (5), Arua (4), Amuru (2), Busia (1), Gulu (2), Masindi (1) and Tororo (1) Truck Drivers (3) from Malaba #STAYSAEFUG",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3557575154292264/?type=3,,"THE REPU FUGANDA MINISTRY OF HEALTH DAILY COVID-19 UPDATES NEW CASES RESULTS OF 5th.0CT.2020 117 CUMULATIVE DEATHS TO-DATE 84 (2 New Deaths) CUMULATIVE CONFIRMED CASES OF UGANDANS TO-DATE 9,082 CUMULATIVE RECOVERIES TO-DATE 5,457 TOTAL COVID-19 SAMPLES TESTED TO-DATE 495,696 Woar Maυk 0800-100-066 0800-203-033 Wash your Hands Keop your Distance E-mail: dghs@infocom.co.ug Website:www.health.go.ug #STAYSAFEUG",,,,,-3.44
Ministry of Health- Uganda,minofhealthUG,767949523254855,190253,2020-10-05 17:54:53 EAT,Photo,499,114,71,2,1,7,13,1,0,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3555119011204545,"Results from COVID-19 tests done on 04 October 2020 confirm 157 new cases. The cumulative confirmed cases are 8,965. 🔺1 new COVID-19 death registered from Kumi. The total COVID-19 deaths are now 82. 🔸Recoveries: 5,078 The breakdown of the new cases are: Contacts and alerts (141): Amuru (25), Kampala (22), Abim (12), Jinja (13), Kaabong (14), Kotido (9), Hoima (7), Kumi (8), Napak (7), Amuria (3), Nakapiripirit (5), Serere (3), Katakwi (4), Rakai (2), Buvuma (1), Iganga (1), Kaliro (1) Kikuube (1), Masindi (1), Nabilatuk (1) and Kalaki (1) Returnees (16): Saudi Arabia (13) and Jordan (3)",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3555116777871435/?type=3,,"FUGANDA MINISTRY OF HEALTH DAILY COVID-19 UPDATES NEW CASES RESULTS OF 04t .OCT.2020 157 CUMULATIVE DEATHS TO-DATE 82 (1New death) CUMULATIVE CONFIRMED CASES OF UGANDANS TO-DATE 8,965 CUMULATIVE RECOVERIES TO-DATE 5,078 TOTAL COVID-19 SAMPLES TESTED TO-DATE 493,595 Wear Mask 0800- 0800-100-066 0800-203-033 Wash your Hands Keep your Distance E-mail: dghs@infocom.co.ug Website:www.health.go.ug #STAYSAFEUG",,,,,-4.71
Ministry of Health- Uganda,minofhealthUG,767949523254855,190067,2020-10-04 12:52:07 EAT,Photo,4869,448,75,5,1,17,20,4,0,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3551410921575354,"Results from COVID-19 tests done on 3 October 2020 confirm 146 new cases. The cumulative confirmed cases are 8,808. 🔺2 new COVID-19 deaths; from Kampala and Gulu. The total COVID-19 deaths are now 81. 🔸Recoveries: 4,736 The breakdown of the new cases are: Contacts and Alerts (83): Masaka (61), Kampala (11), Gulu (4), Arua (1), Buikwe (1), Buvuma (1), Jinja (1), Luwero (1), Moyo (1), Adjumani (1) Returnees (63): from Oman (44), Jordan (12), Saudi Arabia (5) and South Sudan (2)",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3551410164908763/?type=3,,"THE REPU FUGANDA MINISTRY OF HEALTH DAILY COVID-19 UPDATES NEW CASES RESULTS OF 03d.0CT.2020 146 CUMULATIVE DEATHS TO-DATE 81 2New deaths) CUMULATIVE CONFIRMED CASES OF UGANDANS TO-DATE 8,808 CUMULATIVE RECOVERIES TO-DATE 4,736 TOTAL COVID-19 SAMPLES TESTED TO-DATE 491,547 Wear Mask 0800-100-066 0800-203-033 Wosh your Hands Keep your Distance E-mail: dghs@infocom.co.ug Website:www.health.go.ug #STAYSAFEUG",,,,,1.63
Ministry of Health- Uganda,minofhealthUG,767949523254855,189856,2020-10-03 12:26:23 EAT,Photo,5343,168,93,8,3,15,17,3,4,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3548240621892384,"Results from COVID-19 tests done on 2 October 2020 confirm 171 new cases. The cumulative confirmed cases are 8,662. 🔸Recoveries: 4,546 The breakdown of the new cases are: 117 contacts and alerts: Masaka (43), Kampala (28), Jinja (10), Kole (12), Bukwo (10), Lira (3), Apac (2), Kisoro (2), Mukono (1), Namisindwa (1), Tororo (3), Wakiso (1), Busia (1) 54 returnees: from Jordan (48), Oman (5), UAE (1)",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3548239315225848/?type=3,,"THE REPU UGANDA MINISTRY OF HEALTH COVID-19 DAILY UPDATES NEW CASES RESULTS OF 02d.OCT.2020 171 CUMULATIVE DEATHS TO-DATE 79 New deaths) CUMULATIVE CONFIRMED CASES OF UGANDANS TO-DATE 8,662 CUMULATIVE RECOVERIES TO-DATE 4,546 TOTAL COVID-19 SAMPLES TESTED TO-DATE 489,264 Wear Mack 0800-100-066 0800-203-033 Wash your Hands Keep your Distance E-mail: dghs@infocom.co.ug Website:www.health.go.ug #STAYSAFEUG",,,,,1.7
Ministry of Health- Uganda,minofhealthUG,767949523254855,189777,2020-10-02 14:29:04 EAT,Photo,2778,177,86,0,3,16,20,1,3,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3545335968849516,"Results of COVID-19 tests done on 01 October 2020 confirm 204 new cases. The cumulative confirmed cases are 8,491. 🔺4 new COVID-19 deaths registered. 3 are from Kampala and 1 from Bududa. The total COVID-19 deaths are now 79. 🔸Recoveries: 4,470 The breakdown of the new cases are: Contacts and Alerts (197): Kampala (68), Agago (37), Kapchorwa (11), Busia (10), Kween (9), Namisindwa (6), Jinja (5), Omoro (5), Bududa (5), Buliisa (4), Gulu (4), Mukono (3), Sironko (3), Wakiso (3), Yumbe (5), Butaleja (2), Mbale (2), Soroti (2), Adjumani (1), Amuru (1), Arua (1)Budaka (1), Kagadi (1), Kaliro (1), Kibuku (1), Koboko (1), Kyotera (1), Lira (1), Masindi (1) and Tororo (2) 6 returnees from: UAE (2), Saudi Arabia (1), South Sudan (1), Oman (1), DRC (1) 1 truck driver: Elegu Point of Entry",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3545332325516547/?type=3,,"REPL FUGANDA MINISTRY OF HEALTH COVID-19 DAILY UPDATES NEW CASES RESULTS OF 1s.0CT.2020 CUMULATIVE DEATHS TO-DATE 79 204 CUMULATIVE CONFIRMED CASES OF UGANDANS TO-DATE 8,491 CUMULATIVE RECOVERIES TO-DATE 4,470 TOTAL COVID-19 SAMPLES TESTED TO-DATE 486,658 Woar Mask 0800-100-066 0800-203-033 Wosh your Hands Keop your Distance E-mail: dghs@infocom.co.ug Website:www.health.go.ug #STAYSAFEUG",,,,,-1.14
Ministry of Health- Uganda,minofhealthUG,767949523254855,189642,2020-10-01 18:52:23 EAT,Photo,621,25,17,2,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3542868322429614,"A total of 50 motorcycles have been handed over to 50 selected districts by the Minister for State in charge of General Duties, Hon. Robinah Nabbanja and PS, Dr Diana Atwine. The motorcycles procured with support from the Global Fund are intended to boost TB and Leprosy activities.",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3542865102429936/?type=3,,,Photos from Ministry of Health- Uganda's post,,,,-5.28
Ministry of Health- Uganda,minofhealthUG,767949523254855,189642,2020-10-01 15:59:06 EAT,Photo,1687,91,12,2,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3542359462480500,The Ministry of Health with support from Spark Health Africa are supporting District Task Forces in 8 districts across the country to draw mechanisms of innovatively responding to and coping with the devastating effects of the COVID-19 pandemic among local communities. The districts of focus are: 1. Kayunga 2. Mityana 3. Mukono 4. Tororo 5. Iganga 6. Bugiri 7. Mbarara 8. Bushenyi,https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3542359189147194/?type=3,,,Photos from Ministry of Health- Uganda's post,,,,-1.96
Ministry of Health- Uganda,minofhealthUG,767949523254855,189642,2020-10-01 13:47:04 EAT,Photo,451,112,44,1,1,11,14,1,1,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3541978259185287,"Results from COVID-19 tests done on 30 September 2020 confirmed 158 new cases. The cumulative confirmed cases are 8,287. 🔸Recoveries: 4,430 The breakdown of the new cases are: Contacts and Alerts (125): Kampala (76), Kabarole (4), Mbarara (4), Wakiso (4), Butambala (3), Kitgum (3), Mbale (3), Nabilatuk (3), Bududa (2), Dokolo (2), Kisoro (3), Kalaki (2), Mityana (2), Bunyangabu (1), Gomba (1), Hoima (1), Iganga (1) Kaberamaido (1), Kasese (1), Kwania (1), Kyotera (1), Lira (1), Mpigi (1), Napak (1), Ntungamo (1), Rubanda (1) and Soroti (1) 33 returnees: Oman (18), Jordan (10), Afghanistan (5)",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3541976572518789/?type=3,,"FUGANDA MINISTRY OF HEALTH DAILY COVID-19 UPDATES NEW CASES RESULTS OF 30th SEPT.2020 CUMULATIVE DEATHS TO-DATE 75 158 CUMULATIVE CONFIRMED CASES OF UGANDANS TO-DATE 8,287 CUMULATIVE RECOVERIES TO-DATE 4,430 TOTAL COVID-19 SAMPLES TESTED TO-DATE 482,658 Wear Mauk 0800-100-066 0800-203-033 Wosh your Hands Keop your Distance E-mail: dghs@infocom.co.ug Webstte:www.health.go.ug #STAYSAFEUG",,,,,-5.52
