,Facebook Id,text,label
0,767949523254855,"The President of Uganda, His Excellency, Yoweri Kaguta Museveni demonstrates an indoor work-out to keep fit and healthy during this COVID-19 pandemic. Remember to exercise daily for at least 30 minutes to prevent Non-Communicable Diseases and stay fit. #STAYSAFEUG",
1,767949523254855,"The Minister of Health, Dr. Jane Ruth Aceng Ocero and Permanent Secretary, Dr. Diana Atwine officiate at a COVID-19 Sensitization Meeting for Spiritual Leaders (Born Again Faith) of Lango sub-region at All Nations in Lira City. Leaders are instrumental in mobilizing communities to adhere to SOPs in the wake of disease outbreaks.",
2,767949523254855,"Continuous sensitization of leaders and communities on COVID-19 and other diseases is key in preventing avoidable deaths. Ag. Commissioner in charge of Health Promotion and Education, Dr Richard Kabanda engages with staff, political leaders and key community leaders at Namasale Sub-County in Amolatar District on promoting health and preventing diseases amidst the ongoing COVID-19 pandemic. This is part of the activities undertaken by the Ministry of Health top management during the routine support supervision currently taking place in Lango sub-region. The teams will visit Apac, Kole, Lira, Amolatar and Dokolo.",
3,767949523254855,"Door-to-door distribution of face masks has kicked off in Kampala Metropolitan Area as part of Government's interventions to curb the spread of COVID-19. This exercise is being coordinated by the local community leaders. Distribution is also ongoing in Wakiso and Mukono districts. Ensure you receive your face mask and wear it when in public places. Wear the face mask correctly i.e. cover your mouth and nose. When worn correctly, the face mask can provide full protection from COVID-19. DO NOT let the mask hang on your chin, neck like a necklace, or on your ear like an earring Practice frequent hand washing and maintain social distancing. COVID-19 is real and it kills. Camera: @KCCAUG #STAYSAFEUG",
4,767949523254855,"Dr Phionah Atuhebwe, a Ugandan working at World Health Organization African Region narrates her ordeal after contracting the dangerous COVID-19. “I was the youngest, most active and the healthiest of all of us who got COVID. But I was the person that ended up in ICU” #STAYSAFEUG",
5,767949523254855,"The Ministry of Health confirms one COVID-19 death today bringing the total COVID-19 deaths to 4. Results of COVID-19 tests done on 31 July 2020 confirm 22 new cases. The cumulative confirmed cases of Ugandans to-date is 1,176. #STAYSAFEUG",
6,767949523254855,"Results of COVID-19 tests done on 08 August 2020 confirm 16 new cases. The total cumulative confirmed cases of Ugandans is 1,283. 🔺Uganda registered one death today, bringing the total COVID-19 deaths to seven (7). 🔸Cumulative COVID-19 recoveries: 1,115. #STAYSAFEUG",
7,767949523254855,"Uganda has registered one COVID-19 death today. This brings the total COVID-19 deaths to three. Results from COVID-19 tests done on 30 July 2020 confirmed 7 cases bringing the cumulative total of confirmed Ugandan cases to 1,154. #STAYSAFEUG",
8,767949523254855,Never underestimate the power of social distancing in the fight against COVID-19. #STAYSAFEUG,
9,767949523254855,"COVID-19 has impacted our lives in various ways. However, let us be vigilant and adhere to the preventive measures and Standard Operating Procedures to end COVID-19. #STAYSAFEUG",
10,767949523254855,"Results from COVID-19 tests done on 26 August 2020 confirm 155 new cases. The cumulative confirmed cases of Ugandans is now 2,679. 🔺2 new COVID deaths recorded. The total COVID-19 deaths are now 28.",
11,767949523254855,"Meet Sekajja Abdullah, a truck driver who tested positive for COVID-19 and has since recovered. “Protect yourself, keep a physical distance, wear a face mask and wash your hands regularly. Corona is real” Abdullah says.",
12,767949523254855,"Results of COVID-19 tests done on 23 August 2020 confirm 99 new cases. This brings the cumulative total of confirmed cases to 2,362. 🔺Two (2) COVID-19 deaths were recorded bringing the total COVID-19 deaths to 22. #STAYSAFEUG",
13,767949523254855,"Results of COVID-19 tests done on 27 August 2020 confirm 77 new cases. The cumulative confirmed cases of Ugandans is now 2,756. 🔸Recoveries: 1,288 #STAYSAFEUG",
14,767949523254855,Don’t stigmatize anyone but remember you can get COVID-19 from anyone. Say NO to COVID-19 by: 😷Always wearing a Face mask properly Maintaining a social distance 💧Washing your hands with soap and water or use a hand sanitizer always #STAYSAFEUG,
